"","stream","monthN","rep","ArrheniusC","Temp","lnK"
"272","lick",8,5,-1.15611213139664,23.51918981,-4.18508382460458
"273","lick",10,5,0.0464935686033598,14.66761905,-4.5327102782897
"274","lick",11,5,0.755717568603359,9.690819444,-4.76537708440838
"275","lick",12,5,0.874854658603361,8.871640523,-4.90785097899529
"276","mayfield",1,1,1.00588945860336,7.97611588,-4.82379993983105
"277","mayfield",2,1,0.999438968603364,8.020067014,-4.59496760972375
"278","mayfield",3,1,0.282783368603361,12.99017337,-4.64194994469613
"279","mayfield",4,1,-0.15378334139664,16.10488194,-4.70054725802965
"280","mayfield",5,1,-0.726023891396636,20.29174242,-4.43997350985603
"281","mayfield",6,1,-1.04146107139664,22.65191092,-4.64392816621877
"282","mayfield",7,1,-1.05721051139664,22.77074713,-4.23376002062976
"283","mayfield",8,1,-1.11074382139664,23.17539352,-4.12766389721192
"284","mayfield",9,1,-0.860393651396642,21.29250534,-4.43620163508545
"285","mayfield",10,1,0.00525986860336047,14.96235887,-4.39236590115271
"286","mayfield",11,1,0.620353558603362,10.62736806,-4.52094172772717
"287","mayfield",12,1,0.828264908603359,9.191422977,-4.83852431326629
"288","mayfield",1,2,1.00588945860336,7.97611588,-4.67450493733788
"289","mayfield",2,2,0.999438968603364,8.020067014,-4.64103677052513
"290","mayfield",3,2,0.282783368603361,12.99017337,-4.51068671144678
"291","mayfield",5,2,-0.726023891396636,20.29174242,-4.45418614323935
"292","mayfield",6,2,-1.04146107139664,22.65191092,-4.41324571842031
"293","mayfield",7,2,-1.05721051139664,22.77074713,-4.29860384898261
"294","mayfield",8,2,-1.11074382139664,23.17539352,-4.20379529810416
"295","mayfield",9,2,-0.860393651396642,21.29250534,-4.43430786954554
"296","mayfield",10,2,0.00525986860336047,14.96235887,-4.35091284787297
"297","mayfield",11,2,0.620353558603362,10.62736806,-4.64831978310811
"298","mayfield",12,2,0.828264908603359,9.191422977,-4.954953219509
"299","mayfield",1,3,1.00588945860336,7.97611588,-4.76191979009526
"300","mayfield",2,3,0.999438968603364,8.020067014,-4.62259471520234
"301","mayfield",3,3,0.282783368603361,12.99017337,-4.5031659162278
"302","mayfield",4,3,-0.15378334139664,16.10488194,-4.4783004706457
"303","mayfield",5,3,-0.726023891396636,20.29174242,-4.47070800168458
"304","mayfield",6,3,-1.04146107139664,22.65191092,-4.24699866248343
"305","mayfield",7,3,-1.05721051139664,22.77074713,-4.00149786885576
"306","mayfield",8,3,-1.11074382139664,23.17539352,-4.15061514912058
"307","mayfield",9,3,-0.860393651396642,21.29250534,-4.40315630209845
"308","mayfield",10,3,0.00525986860336047,14.96235887,-4.55393539331173
"309","mayfield",11,3,0.620353558603362,10.62736806,-4.58166374002992
"310","mayfield",12,3,0.828264908603359,9.191422977,-4.94057914808606
"311","mayfield",1,4,1.00588945860336,7.97611588,-4.70336157248497
"312","mayfield",2,4,0.999438968603364,8.020067014,-4.59225573762342
